DATE,HOWNRATEACS039061
1/1/2009,67.08964747
1/1/2010,65.82041134
1/1/2011,65.36255782
1/1/2012,64.35412528
1/1/2013,63.29304346
1/1/2014,62.70930421
1/1/2015,62.11868267
1/1/2016,61.70848146
1/1/2017,61.7386727
1/1/2018,62.06279982
1/1/2019,62.07050968
1/1/2020,62.82513844
1/1/2021,62.83573246
1/1/2022,63.57076923
