RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,12/31/2023,2/29/2024,11/30/2024
394908,68,"New Haven, CT",msa,CT,11/30/2023,0.5,0.7,1.5
394561,69,"El Paso, TX",msa,TX,11/30/2023,0,-0.5,0
394318,70,"Allentown, PA",msa,PA,11/30/2023,0.1,-0.1,0.1
394952,71,"Oxnard, CA",msa,CA,11/30/2023,0,-0.7,-1.9
394486,72,"Columbia, SC",msa,SC,11/30/2023,0.2,0.1,0.7
753906,73,"North Port, FL",msa,FL,11/30/2023,-0.4,-1.3,0.8
394457,75,"Charleston, SC",msa,SC,11/30/2023,0.2,-0.1,0.6
394648,76,"Greensboro, NC",msa,NC,11/30/2023,0.1,0.1,1
395134,77,"Stockton, CA",msa,CA,11/30/2023,0,-0.7,-1.8
394440,78,"Cape Coral, FL",msa,FL,11/30/2023,-0.4,-1.3,0.6
394399,79,"Boise City, ID",msa,ID,11/30/2023,0.1,-0.4,1.3
394484,80,"Colorado Springs, CO",msa,CO,11/30/2023,-0.3,-0.9,-1.4
394798,81,"Little Rock, AR",msa,AR,11/30/2023,0,-0.6,-2.1
394766,82,"Lakeland, FL",msa,FL,11/30/2023,-0.2,-0.8,1
394304,83,"Akron, OH",msa,OH,11/30/2023,0,-0.4,-0.9
394531,84,"Des Moines, IA",msa,IA,11/30/2023,0,-0.6,-2.4
395115,85,"Springfield, MA",msa,MA,11/30/2023,0.2,0.1,-0.2
394931,87,"Ogden, UT",msa,UT,11/30/2023,0.2,-0.1,1.3
394816,88,"Madison, WI",msa,WI,11/30/2023,0,-0.4,-1.1
395235,89,"Winston, NC",msa,NC,11/30/2023,0.2,0.1,1.1
394528,90,"Deltona, FL",msa,FL,11/30/2023,-0.1,-0.9,0.3
395143,91,"Syracuse, NY",msa,NY,11/30/2023,0.3,0.3,0.8
395006,92,"Provo, UT",msa,UT,11/30/2023,0.2,0.1,0.8
395160,93,"Toledo, OH",msa,OH,11/30/2023,0.3,0.3,-0.3
395224,94,"Wichita, KS",msa,KS,11/30/2023,-0.3,-0.7,-0.6
394549,95,"Durham, NC",msa,NC,11/30/2023,0.1,-0.3,0.8
394352,96,"Augusta, GA",msa,GA,11/30/2023,0,-0.3,0.3
394957,97,"Palm Bay, FL",msa,FL,11/30/2023,0,-0.5,0.7
394711,98,"Jackson, MS",msa,MS,11/30/2023,-0.6,-1.3,-2.7
394666,99,"Harrisburg, PA",msa,PA,11/30/2023,-0.1,-0.6,-1
395113,100,"Spokane, WA",msa,WA,11/30/2023,-0.2,-0.8,0.7
395075,101,"Scranton, PA",msa,PA,11/30/2023,0.1,-0.2,-0.3
394460,102,"Chattanooga, TN",msa,TN,11/30/2023,0.1,0.2,1.5
394871,103,"Modesto, CA",msa,CA,11/30/2023,0.1,-0.4,-1.1
394768,104,"Lancaster, PA",msa,PA,11/30/2023,0.1,-0.1,-0.2
394997,105,"Portland, ME",msa,ME,11/30/2023,0.1,0.1,1.6
395245,106,"Youngstown, OH",msa,OH,11/30/2023,0,-0.2,0
394770,107,"Lansing, MI",msa,MI,11/30/2023,0.1,-0.2,-0.9
394590,108,"Fayetteville, AR",msa,AR,11/30/2023,0,-0.3,1.5
394589,109,"Fayetteville, NC",msa,NC,11/30/2023,0.2,0.2,1.7
394792,110,"Lexington, KY",msa,KY,11/30/2023,0.1,-0.1,-0.1
394971,111,"Pensacola, FL",msa,FL,11/30/2023,0,0,1.7
395068,112,"Santa Rosa, CA",msa,CA,11/30/2023,-0.3,-1.4,-4.7
395019,113,"Reno, NV",msa,NV,11/30/2023,-0.1,-0.8,-1.8
394698,114,"Huntsville, AL",msa,AL,11/30/2023,-0.1,-0.4,1.1
394995,115,"Port St. Lucie, FL",msa,FL,11/30/2023,0.1,-0.2,1.8
394761,116,"Lafayette, LA",msa,LA,11/30/2023,-0.4,-1.5,-5.9
394898,117,"Myrtle Beach, SC",msa,SC,11/30/2023,-0.2,-1,0.3
395116,118,"Springfield, MO",msa,MO,11/30/2023,-0.1,-0.5,0.7
395195,119,"Visalia, CA",msa,CA,11/30/2023,-0.1,-0.7,-1
394746,120,"Killeen, TX",msa,TX,11/30/2023,-0.5,-1.5,-0.5
394338,121,"Asheville, NC",msa,NC,11/30/2023,0.2,0.1,0.6
395244,122,"York, PA",msa,PA,11/30/2023,0,-0.2,-0.3
395183,123,"Vallejo, CA",msa,CA,11/30/2023,-0.2,-1.1,-3.2
753917,124,"Santa Maria, CA",msa,CA,11/30/2023,0.2,-0.3,0.6
395050,125,"Salinas, CA",msa,CA,11/30/2023,0.1,-0.3,-0.8
395048,126,"Salem, OR",msa,OR,11/30/2023,-0.1,-0.5,-1.1
394870,127,"Mobile, AL",msa,AL,11/30/2023,0.1,-0.1,-0.3
395015,128,"Reading, PA",msa,PA,11/30/2023,0.1,0,0.3
394502,129,"Corpus Christi, TX",msa,TX,11/30/2023,-0.4,-1.1,-3.2
394421,130,"Brownsville, TX",msa,TX,11/30/2023,-0.4,-1.1,-0.5
394820,131,"Manchester, NH",msa,NH,11/30/2023,0.1,0,1
394612,132,"Fort Wayne, IN",msa,IN,11/30/2023,0.1,0,1.1
394658,133,"Gulfport, MS",msa,MS,11/30/2023,-0.1,-0.7,-1.6
395051,134,"Salisbury, MD",msa,DE,11/30/2023,-0.2,-0.5,-0.1
394596,135,"Flint, MI",msa,MI,11/30/2023,0.1,0.3,0.6
394972,136,"Peoria, IL",msa,IL,11/30/2023,0.2,-0.4,-2.6
394439,137,"Canton, OH",msa,OH,11/30/2023,0.1,-0.3,-0.9
395070,138,"Savannah, GA",msa,GA,11/30/2023,0.3,0.4,2
394327,139,"Anchorage, AK",msa,AK,11/30/2023,-0.4,-1.3,-3.9
394372,140,"Beaumont, TX",msa,TX,11/30/2023,-0.5,-1.8,-5.7
395096,141,"Shreveport, LA",msa,LA,11/30/2023,0.2,-0.7,-4.9
395164,142,"Trenton, NJ",msa,NJ,11/30/2023,0.2,0.2,0.4
394875,143,"Montgomery, AL",msa,AL,11/30/2023,0.1,-0.2,-1.1
394520,144,"Davenport, IA",msa,IL,11/30/2023,0,-0.8,-3.4
395146,145,"Tallahassee, FL",msa,FL,11/30/2023,0.1,0,0
394576,146,"Eugene, OR",msa,OR,11/30/2023,-0.2,-0.7,-0.7
394901,147,"Naples, FL",msa,FL,11/30/2023,0,-0.5,2
394332,148,"Ann Arbor, MI",msa,MI,11/30/2023,-0.1,-0.7,-3
394927,149,"Ocala, FL",msa,FL,11/30/2023,-0.2,-0.8,1.5
394679,150,"Hickory, NC",msa,NC,11/30/2023,0.2,0.5,2.5
394697,151,"Huntington, WV",msa,OH,11/30/2023,0.1,-0.2,-2.8
394602,152,"Fort Collins, CO",msa,CO,11/30/2023,-0.3,-1.1,-2.6
395033,153,"Rockford, IL",msa,IL,11/30/2023,0.6,0.8,1.1
394796,154,"Lincoln, NE",msa,NE,11/30/2023,-0.2,-0.5,-1.2
394622,155,"Gainesville, FL",msa,FL,11/30/2023,0.1,0.1,0.7
394405,156,"Boulder, CO",msa,CO,11/30/2023,-0.3,-1,-2.2
394646,157,"Green Bay, WI",msa,WI,11/30/2023,0,0,0.5
394488,158,"Columbus, GA",msa,GA,11/30/2023,0.2,0,-0.1
395107,159,"South Bend, IN",msa,IN,11/30/2023,0,0.1,0.8
395109,160,"Spartanburg, SC",msa,SC,11/30/2023,0.2,0.1,1.4
394645,161,"Greeley, CO",msa,CO,11/30/2023,-0.4,-1.3,-2.8
394808,162,"Lubbock, TX",msa,TX,11/30/2023,-0.4,-1.2,-3.5
394471,163,"Clarksville, TN",msa,TN,11/30/2023,0,-0.2,1.4
395028,164,"Roanoke, VA",msa,VA,11/30/2023,0.2,0,0.3
394579,165,"Evansville, IN",msa,IN,11/30/2023,0,-0.3,-0.8
394747,167,"Kingsport, TN",msa,TN,11/30/2023,0.5,0.8,2.4
394741,168,"Kennewick, WA",msa,WA,11/30/2023,-0.2,-0.4,-0.2
395179,169,"Utica, NY",msa,NY,11/30/2023,0.3,0.4,0.5
394660,170,"Hagerstown, MD",msa,MD,11/30/2023,0.1,-0.2,-0.2
394543,171,"Duluth, MN",msa,MN,11/30/2023,0,-0.2,-0.4
394937,172,"Olympia, WA",msa,WA,11/30/2023,0,-0.5,0
394803,173,"Longview, TX",msa,TX,11/30/2023,-0.4,-1,-2.4
395229,174,"Wilmington, NC",msa,NC,11/30/2023,0.1,-0.1,1.5
395061,175,"San Luis Obispo, CA",msa,CA,11/30/2023,0,-1,-2
753875,176,"Crestview, FL",msa,FL,11/30/2023,-0.3,-1,0.1
394851,177,"Merced, CA",msa,CA,11/30/2023,-0.1,-0.9,-0.9
395197,178,"Waco, TX",msa,TX,11/30/2023,-0.4,-1,0.2
394447,179,"Cedar Rapids, IA",msa,IA,11/30/2023,-0.1,-1,-2.9
394348,180,"Atlantic City, NJ",msa,NJ,11/30/2023,0.3,0.7,3.2
394412,181,"Bremerton, WA",msa,WA,11/30/2023,-0.3,-1.3,-2
395103,182,"Sioux Falls, SD",msa,SD,11/30/2023,0.1,-0.2,-0.4
395065,183,"Santa Cruz, CA",msa,CA,11/30/2023,-0.5,-1.7,-3.2
394572,184,"Erie, PA",msa,PA,11/30/2023,0.1,-0.3,-0.7
394924,185,"Norwich, CT",msa,CT,11/30/2023,0.2,0.4,0.8
394323,186,"Amarillo, TX",msa,TX,11/30/2023,-0.1,-0.7,-1.5
394772,187,"Laredo, TX",msa,TX,11/30/2023,-1,-2.4,-4.6
395171,188,"Tuscaloosa, AL",msa,AL,11/30/2023,-0.2,-0.8,-1.7
394483,189,"College Station, TX",msa,TX,11/30/2023,-0.3,-1.1,-3.3
394732,190,"Kalamazoo, MI",msa,MI,11/30/2023,-0.1,-0.3,-0.7
394811,191,"Lynchburg, VA",msa,VA,11/30/2023,0.1,-0.1,0.1
394455,192,"Charleston, WV",msa,WV,11/30/2023,0,-0.4,-2
395240,193,"Yakima, WA",msa,WA,11/30/2023,0,0,0.5
394585,194,"Fargo, ND",msa,ND,11/30/2023,-0.4,-1.1,-3.8
394387,195,"Binghamton, NY",msa,NY,11/30/2023,0.4,0.3,0
394609,196,"Fort Smith, AR",msa,AR,11/30/2023,0.2,0.1,-0.2
394334,197,"Appleton, WI",msa,WI,11/30/2023,0,-0.2,0.2
395161,199,"Topeka, KS",msa,KS,11/30/2023,0,-0.5,-0.1
394813,200,"Macon, GA",msa,GA,11/30/2023,0.2,0.2,1.5
395174,201,"Tyler, TX",msa,TX,11/30/2023,-0.2,-0.4,0.1
394361,202,"Barnstable Town, MA",msa,MA,11/30/2023,0.2,-0.2,1.1
394519,203,"Daphne, AL",msa,AL,11/30/2023,-0.2,-0.5,0.6
394378,205,"Bellingham, WA",msa,WA,11/30/2023,0,-0.4,-0.2
394429,206,"Burlington, VT",msa,VT,11/30/2023,-0.1,-0.5,-0.7
395030,207,"Rochester, MN",msa,MN,11/30/2023,-0.2,-0.7,-2.1
753895,208,"Lafayette, IN",msa,IN,11/30/2023,0.2,0.2,0.6
394454,209,"Champaign, IL",msa,IL,11/30/2023,0.2,-0.3,-2.7
